lambda,b,alpha
0.2,8.0,2.208453726118255
0.2,8.667668342931078,2.0428785038613504
0.2,9.391059312881195,1.821140269470506
0.2,10.17482343910605,1.527034409969504
0.2,11.02399937725658,1.1584740999095087
0.2,11.944046301842347,0.71621617149763
0.2,12.94087900212274,0.2098119094604396
0.2,14.020905907050093,-0.3625196498799392
0.2,15.191070283719181,-0.954964041236519
0.2,16.458894874179222,-1.4246556969255246
0.2,17.83253025756922,-1.2236968606658696
0.2,19.320807248486666,0.9031573546342513
0.2,20.93329366844765,5.338092046079105
0.2,22.680355855410408,8.165657259975559
0.2,24.57322530679404,8.040920327916927
0.2,26.624070884426427,5.711938301522508
0.2,28.846077045612,2.2771368688321996
0.2,31.253528603250246,-1.4893754520623537
0.2,33.86190255991038,-5.5342755526944005
0.2,36.687967606244,-10.18556854019846
0.2,39.74989192339025,-14.521507316330327
0.2,43.067359982412675,-12.774685784985204
0.2,46.661699091646895,-1.2231430303886879
0.2,50.556016505505426,-1.7735828468038812
0.2,54.77534797618381,-5.428125495243298
0.2,59.34681870327529,-9.406591509824477
0.2,64.29981771600613,-10.951808393046612
0.2,69.66618680915815,-3.1266857219032818
0.2,75.48042524730785,-1.431768139054605
0.2,81.77991155338324,-0.150686875709234
0.2,88.6051438073704,7.553035760750207
0.2,96.0,6.233967501928152
0.5,8.0,5.521134315295637
0.5,8.667668342931078,5.107196259653376
0.5,9.391059312881195,4.552850673676264
0.5,10.17482343910605,3.8175860249237594
0.5,11.02399937725658,2.8961852497737715
0.5,11.944046301842347,1.7905404287440747
0.5,12.94087900212274,0.524529773651099
0.5,14.020905907050093,-0.9062991246998479
0.5,15.191070283719181,-2.3874101030912973
0.5,16.458894874179222,-3.5616392423138112
0.5,17.83253025756922,-3.059242151664674
0.5,19.320807248486666,2.257893386585628
0.5,20.93329366844765,13.345230115197761
0.5,22.680355855410408,20.414143149938894
0.5,24.57322530679404,20.10230081979232
0.5,26.624070884426427,14.27984575380627
0.5,28.846077045612,5.692842172080499
0.5,31.253528603250246,-3.7234386301558837
0.5,33.86190255991038,-13.835688881736
0.5,36.687967606244,-25.463921350496147
0.5,39.74989192339025,-36.303768290825815
0.5,43.067359982412675,-31.93671446246301
0.5,46.661699091646895,-3.0578575759717195
0.5,50.556016505505426,-4.433957117009703
0.5,54.77534797618381,-13.570313738108243
0.5,59.34681870327529,-23.51647877456119
0.5,64.29981771600613,-27.379520982616526
0.5,69.66618680915815,-7.816714304758204
0.5,75.48042524730785,-3.5794203476365123
0.5,81.77991155338324,-0.37671718927308495
0.5,88.6051438073704,18.882589401875517
0.5,96.0,15.584918754820379
1.0,8.0,11.042268630591273
1.0,8.667668342931078,10.214392519306752
1.0,9.391059312881195,9.105701347352529
1.0,10.17482343910605,7.635172049847519
1.0,11.02399937725658,5.792370499547543
1.0,11.944046301842347,3.5810808574881494
1.0,12.94087900212274,1.049059547302198
1.0,14.020905907050093,-1.8125982493996957
1.0,15.191070283719181,-4.774820206182595
1.0,16.458894874179222,-7.1232784846276225
1.0,17.83253025756922,-6.118484303329348
1.0,19.320807248486666,4.515786773171256
1.0,20.93329366844765,26.690460230395523
1.0,22.680355855410408,40.82828629987779
1.0,24.57322530679404,40.20460163958464
1.0,26.624070884426427,28.55969150761254
1.0,28.846077045612,11.385684344160998
1.0,31.253528603250246,-7.446877260311767
1.0,33.86190255991038,-27.671377763472
1.0,36.687967606244,-50.927842700992294
1.0,39.74989192339025,-72.60753658165163
1.0,43.067359982412675,-63.87342892492602
1.0,46.661699091646895,-6.115715151943439
1.0,50.556016505505426,-8.867914234019405
1.0,54.77534797618381,-27.140627476216487
1.0,59.34681870327529,-47.03295754912238
1.0,64.29981771600613,-54.75904196523305
1.0,69.66618680915815,-15.633428609516407
1.0,75.48042524730785,-7.158840695273025
1.0,81.77991155338324,-0.7534343785461699
1.0,88.6051438073704,37.765178803751034
1.0,96.0,31.169837509640757
