r,grad_phi,grad_phi_var
12.313405738628946,0.14732886891901592,0.005142640492963535
12.964986780840109,0.1681580171818387,0.0047066405336943055
13.651047142873983,0.17403172541347492,0.008708931078203839
14.373411346038615,0.19948172246051016,0.008426946965275212
15.134000458732338,0.21999265632059817,0.010371461063107615
15.93483720536772,0.23400972084201946,0.01433942440603797
16.778051345641376,0.2528677692451252,0.018616428720168374
17.66588533845535,0.3185332972232782,0.021403266840660157
18.600700305552767,0.4481379665677886,0.030906964701915868
19.584982310727643,0.5425182183662619,0.075510740765236
20.621348971307775,0.579238362607939,0.08169691453598166
21.71255641949351,0.5893355357070554,0.08124276046156093
22.86150663206545,0.6141454508673888,0.054784297698219686
24.071255147953888,0.5926438411379523,0.05712544783489881
25.345019194194197,0.5106370274509652,0.09102121049502643
26.686186241878424,0.43598376992049276,0.08531956067803911
28.098323014857073,0.38642222011486466,0.056801011619182995
29.585184975148902,0.3499600194928245,0.030547745224488998
31.150726310284345,0.3338936998347828,0.01924033846206888
32.79911044914322,0.3466248766767354,0.025121899806818823
34.534721134252614,0.3981353860353114,0.043216399385680754
36.36217407999089,0.47264908942532663,0.07610747928685746
38.286329247701815,0.5915036908621235,0.07739896469348434
40.31230377036341,0.6753280575328768,0.052259762733012416
42.44548556118379,0.6064840072095301,0.11426225967001669
44.69154764231475,0.4854629820795114,0.06864726650884787
47.05646323178933,0.22337634879446375,0.01587304157152001
49.546521628805536,0.13662778373400916,0.005457468726006574
52.168344939602214,0.12291012100868307,0.002575883919632184
54.92890568840788,0.15291231416929044,0.009000633931573365
57.83554536029743,0.23411465612527038,0.017115313692653365
60.89599392527013,0.3396858542125745,0.010994422190782657
64.11839039547125,0.3502254370841237,0.022003699751548048
67.51130447022788,0.24564491269107874,0.02662049527568605
71.08375932646203,0.09199902865592048,0.0038499131498057823
74.84525561509005,0.04756812266205558,0.0010282989202419312
