r,grad_phi_norm,grad_phi_norm_var
12.313405738628946,1.1365971145727305,0.30607196669463343
12.964986780840109,1.2972876159540014,0.28012277479703096
13.651047142873983,1.342601476549714,0.5183251029429488
14.373411346038615,1.5389404114901923,0.5015423952777311
15.134000458732338,1.6971759861852176,0.6172730700163944
15.93483720536772,1.805313347224658,0.8534323632441874
16.778051345641376,1.9507974166993556,1.107984693662476
17.66588533845535,2.4573868595864075,1.2738475467173638
18.600700305552767,3.4572472012353805,1.83947438749035
19.584982310727643,4.185361946525115,4.494135058479692
20.621348971307775,4.468646616379774,4.862314474271582
21.71255641949351,4.546543215288069,4.835284812966194
22.86150663206545,4.737944114452847,3.2605696943859215
24.071255147953888,4.572065778750834,3.399906758223274
25.345019194194197,3.939408319993248,5.417263941599206
26.686186241878424,3.3634812954721323,5.077921696058761
28.098323014857073,2.9811291134717766,3.3805974499511944
29.585184975148902,2.6998343996654643,1.8180949011969565
31.150726310284345,2.5758876626877165,1.1451176182767506
32.79911044914322,2.6741047939930085,1.4951675683920111
34.534721134252614,3.071492602212129,2.572088865930759
36.36217407999089,3.6463430092682874,4.529650847142127
38.286329247701815,4.56326986846391,4.606515539298741
40.31230377036341,5.209949191993058,3.1103182072660793
42.44548556118379,4.678838422412469,6.800489861973958
44.69154764231475,3.7451982677390214,4.085645087834273
47.05646323178933,1.7232801376024893,0.9447078904053834
49.546521628805536,1.0540415188275367,0.3248094414588787
52.168344939602214,0.9482139509741653,0.15330759720374298
54.92890568840788,1.1796716851399294,0.5356862360307868
57.83554536029743,1.806122890805858,1.018643580019602
60.89599392527013,2.6205723602711717,0.6543495364313641
64.11839039547125,2.701882015116807,1.3095832125013267
67.51130447022788,1.8950752898783385,1.584358726720799
71.08375932646203,0.7097443378275801,0.22913335882158348
74.84525561509005,0.36697350193500367,0.06120075344544443
